team,date,opponent,competition,venue,goals_scored,goals_conceded,result,points,goal_diff,clean_sheet,period,possession,shots,shots_on_target,xg,note
Algeria,2026-06-03,Netherlands,Friendly,Away,1,0,W,3,1,1,Full Squad,48%,8,2,ND,1st Hadj Moussa intl goal · De Kuip Rotterdam
Algeria,2026-03-31,Uruguay,Friendly,Neutral,0,0,D,1,0,1,Full Squad,41%,6,0,0.45,Solid defensive display vs WC side
Algeria,2026-03-27,Guatemala,Friendly,Home,7,0,W,3,7,1,Full Squad,62%,29,11,ND,FIFA #140+ opponent — stats to be contextualised
Algeria,2026-01-10,Nigeria,AFCON QF,Neutral,0,2,L,0,-2,0,Full Squad,30%,3,0,0.13,AFCON elimination — real offensive limitations exposed
Algeria,2026-01-06,DR Congo,AFCON R16,Neutral,1,0,W,3,1,1,Full Squad,57%,12,ND,0.70,Narrow qualification — controlled performance
Saudi Arabia,2026-05-31,Ecuador,Friendly,Neutral,1,2,L,0,-1,0,Full Squad,58%,12,2,ND,58% possession → only 2 shots on target — finishing problem confirmed
Saudi Arabia,2026-03-31,Serbia,Friendly,Away,1,2,L,0,-1,0,Full Squad,41%,3,1,ND,Led 1-0 (Al-Hamdan 8') — collapsed in 2nd half
Saudi Arabia,2026-03-27,Egypt,Friendly,Home,0,4,L,0,-4,0,Full Squad,39%,7,0,ND,Most alarming result — 0 shots on target in 7 attempts
Saudi Arabia,2025-11-18,Algeria,Friendly,Home,0,2,L,0,-2,0,Full Squad,52%,6,2,ND,Lost to Algeria at home — Mahrez pen 75' + Belghali 86'
Saudi Arabia,2025-10-14,Iraq,Friendly,Home,0,0,D,1,0,1,Full Squad,62%,15,4,ND,Dominated possession but couldn't convert
Saudi Arabia,2025-12-18,UAE,Arab Cup,Host,0,0,D,1,0,1,Arab Cup,ND,ND,ND,ND,Arab Cup hosted in Saudi Arabia — without Abdulhamid
Saudi Arabia,2025-12-15,Jordan,Arab Cup,Host,0,1,L,0,-1,0,Arab Cup,ND,ND,ND,ND,Unexpected loss — LB position exposed
Saudi Arabia,2025-12-11,Palestine,Arab Cup,Host,2,1,W,3,1,0,Arab Cup,ND,ND,ND,ND,Late winner
Saudi Arabia,2025-12-08,Morocco,Arab Cup,Host,0,1,L,0,-1,0,Arab Cup,ND,ND,ND,ND,Loss vs top African side
Saudi Arabia,2025-12-05,Comoros,Arab Cup,Host,3,1,W,3,2,0,Arab Cup,ND,ND,ND,ND,Good opener vs accessible opponent
